,F1
BabiesBornWithDiseases,-0.4926015021105348
Gynaecologist,-0.958089686313593
FertilityRate,0.022370355371034257
BirthsWithLowerEd,-0.3338001658428107
BirthsLower2kg,-0.8991504262288914
BirthsBeforeTerm,-0.15293004622362677
AtRiskOfPoverty,-0.9370551632883053
Smoking,-0.07680370284514493
AlcoholConsumption,-0.19447168746684773
NoBeds,-0.9115937211154128
GreenhouseEmission,0.06190285643364277
